hometown,race,Hispanic,sexual_orientation,gender,trans,first_gen,disables,household_income,athlete,rotc,secondary_school,classes_ap,classes_ib,classes_honors,classes_dual,extracurriculars,ai,gap_year,admissions,other_univ,sat_binary,sat_score,act_binary,act_score,admissions_assistance,legacy,legacy_binary,three_reasons,activities,college_accepted,college_switch,pre_professional,commons_house,commons_house_wish,financial_aid,merit_scholar,loans,greek_life,political_ideology,divest,abolish_gl,administration_politics,affirmative_action,legacy_opinion,abortion,gender_affirming_care,gun_control,vote,sex,romantic_relationships,alcohol,weed,drugs,fake_id
New York,White/Caucasian,Yes,Heterosexual,Female,No,Yes,No,"$100,000 - $149,999",No,No,Public,4,My school did not offer,My school did not offer,1,"Athletics, Dance, Family Responsibilities",Yes,No,EDII,,No,,No,,No,No,No,"Cost, Post-grad opportunities, Brand name/rankings",None,College of Arts of Science,No,"Yes, as a pre-law student",Murray,Murray,"Yes, more than half the cost of attendance",No,"$1-$4,999",Not sure,3,7,1,1,4,3,7,7,7,"Yes, in my home state/country",No,0,,,,
California,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,10+,My school did not offer,2,My school did not offer,"Academic Clubs/Competition, Community Service, Internship (unpaid), Music, Research",No,No,Regular Decision,,Yes,,No,,No,No,No,"Academics, Faculty, Brand name/rankings",None,School of Engineering,No,"Yes, as a pre-med student",Stambaugh,Stambaugh,No,No,I don't know,Not sure,6,4,1,1,1,2,6,2,6,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
North Carolina,White/Caucasian,No,Gay/lesbian,Nonbinary or gender nonconforming,No,No,No,"$100,000 - $149,999",No,No,Public,6,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Journalism, Music, Research, Theater, Work/Internship (Paid)",No,No,Regular Decision,UNC Chapel Hill,No,,No,,No,No,No,"Cost, Location, Academics","Campus tour, Commodore Launch",Blair School of Music,No,No,East,Crawford,"Yes, more than half the cost of attendance",No,$0 ,No,1,6,3,3,7,1,7,7,7,"Yes, in my home state/country",No,2,Once a week,Once a month,None,N/A (I have never owned a fake ID)
Maryland,Asian/Pacific Islander,No,Heterosexual,Female,No,Yes,No,"$300,000 - $499,999",No,No,Public,10+,My school did not offer,5,0,"Community Service, Cultural and Affinity Clubs, Research, Theater",Yes,No,Regular Decision,,No,,No,,No,No,No,"Cost, Academics, Post-grad opportunities",Campus tour,College of Arts of Science,"Yes, Engineering",No,West,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,4,4,3,5,5,3,4,7,7,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Wisconsin,White/Caucasian,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,9,My school did not offer,2,9,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Religious group, Speech and Debate, Work/Internship (Paid)",No,No,Regular Decision,,No,,No,,No,No,No,"Academics, Post-grad opportunities, Brand name/rankings",Campus tour,College of Arts of Science,"Yes, Peabody","Yes, as a pre-law student",West,Stambaugh,"Yes, more than half the cost of attendance",No,"$30,000 - $39,999",No,5,4,4,3,2,2,1,1,2,"Yes, in my home state/country",Yes,2,Never,Never,None,N/A (I have never owned a fake ID)
Virginia,African American/Black,No,Bisexual/pansexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,2,10+,6,1,"Advocacy, Cultural and Affinity Clubs, Family Responsibilities, Student Government, Work/Internship (Paid)",No,No,EDII,"Williams, Wellesley, Smith ",No,,No,,No,No,No,"Location, School size, Brand name/rankings","Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",Hank Ingram,Murray,"Yes, full cost of attendence",No,$0 ,Not sure,1,7,5,7,5,1,7,7,7,I am not eligible to vote,,1,Once a week,Once a semester,None,N/A (I have never owned a fake ID)
Texas,White/Caucasian,Yes,Bisexual/pansexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,7,My school did not offer,My school did not offer,My school did not offer,"Athletics, Cultural and Affinity Clubs, Family Responsibilities, Student Government",No,No,Regular Decision,"Texas A&M (College Station), University of Houston",No,,No,,No,No,No,"Cost, Academics, Brand name/rankings",Anchor Day,College of Arts of Science,"Yes, Engineering",No,East,East,"Yes, more than half the cost of attendance",No,$0 ,No,5,4,3,3,4,3,2,3,5,"I am eligible to vote, but am not registered",No,1,Never,Never,None,N/A (I have never owned a fake ID)
New York,White/Caucasian,No,Heterosexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,My school did not offer,My school did not offer,2,10+,"Academic Clubs/Competition, Athletics, Community Service, Religious group, Work/Internship (Paid)",No,No,Regular Decision,"New Jersey Institute of Technology, SUNY Stony Brooke, Rochester Institute of Technology, Cedarville University, Grove City College",Yes,1510,Yes,33,No,No,No,"Cost, Academics, Brand name/rankings",None,School of Engineering,No,No,Murray,Murray,"Yes, full cost of attendence",No,$0 ,No,6,4,4,1,1,2,1,1,1,I am registered to vote but do not vote,No,0,Never,Never,Cocaine,N/A (I have never owned a fake ID)
Pennsylvania,White/Caucasian,No,Questioning/unsure,Female,No,No,No,"$300,000 - $499,999",No,No,Public,8,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Student Government, Work/Internship (Paid)",No,No,EDI,,Yes,1490,No,,No,No,No,"Location, Academics, Brand name/rankings","Campus tour, 'Dore For A Day, Anchor Day",School of Engineering,No,No,Crawford,Hank Ingram,No,No,"$200,000 - $249,000",Not sure,1,7,3,2,4,1,7,6,7,"Yes, in my home state/country",No,1,Twice a week,Never,None,Missouri
Tennessee,White/Caucasian,No,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Private,6,My school did not offer,4,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Model UN, Work/Internship (Paid)",No,No,Regular Decision,"Northeastern, Oregon",Yes,1470,No,,No,No,No,"Location, Academics, Brand name/rankings","Campus tour, 'Dore For A Day, Anchor Day (admitted students day)",College of Arts of Science,No,No,Hank Ingram,Hank Ingram,No,No,$0 ,No,3,2,4,1,3,5,6,2,6,"I am eligible to vote, but am not registered",Yes,2,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,White/Caucasian,No,Heterosexual,Male,No,No,Yes,"$0 - $49,999",No,No,Public,6,My school did not offer,10+,7,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Internship (unpaid), Religious group, Work/Internship (Paid)",No,No,EDI,,No,,Yes,35,No,No,No,"Cost, School size, Post-grad opportunities","Campus tour, 'Dore For A Day, Anchor Day (admitted students day)",School of Engineering,No,No,Sutherland,East,"Yes, full cost of attendence","Yes, partial tuition","$1-$4,999",No,4,5,7,3,1,1,4,1,5,"Yes, in Tennessee",No,2,Never,Never,None,N/A (I have never owned a fake ID)
Georgia,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$50,000 - $74,999",No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Internship (unpaid), Music, Religious group, Research, Student Government, Work/Internship (Paid)",No,No,EDI,"UGA, Georgia Tech, (i stopped applying after getting into ED1)",Yes,1540,No,,No,No,No,"Cost, Academics",None,College of Arts of Science,No,"Yes, as a pre-med student",Murray,Murray,"Yes, full cost of attendence",No,$0 ,No,2,5,4,4,4,3,6,4,6,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Maryland,White/Caucasian,No,Heterosexual,Female,No,No,No,"$150,000 - $199,999",Yes,No,Public,3,0,4,1,"Athletics, Religious group",No,No,Regular Decision,,No,,No,,No,No,No,"Location, Academics, Brand name/rankings, Campus",None,College of Arts of Science,No,"Yes, on another pre-professional track",Murray,Murray,"Yes, more than half the cost of attendance",No,"$75,000 - $99,999",Not sure,4,4,2,4,4,3,4,4,4,"Yes, in my home state/country",Yes,4,Never,Never,None,N/A (I have never owned a fake ID)
Massachusetts,White/Caucasian,No,Heterosexual,Female,No,No,No,"$150,000 - $199,999",No,No,Public,5,0,0,10+,"Advocacy, Community Service, Internship (unpaid), Work/Internship (Paid)",No,No,Regular Decision,,No,,No,,No,No,No,"Location, School size, Brand name/rankings","Dore For A Day, Anchor Day, MOSAIC",Peabody College of Education and Human Development,No,No,Gillette,Hank Ingram,"Yes, more than half the cost of attendance",No,"$100,000 - $149,999",Not sure,4,5,2,4,1,2,7,5,7,"Yes, in my home state/country",,1,Never,Never,None,N/A (I have never owned a fake ID)
Texas,White/Caucasian,Yes,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Charter,10+,My school did not offer,3,1,"Community Service, Family Responsibilities, Internship (unpaid), Music, ",No,No,EDI,"University of Texas, Texas A&M",No,,No,,College counseling,No,No,"Cost, Location, Academics","Campus tour, Anchor Day, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",Sutherland,Hank Ingram,"Yes, more than half the cost of attendance",No,"$20,000 - $29,999",Not sure,3,4,2,3,5,3,5,4,6,"Yes, in my home state/country",Yes,1,Never,Never,,N/A (I have never owned a fake ID)
Alaska,"Native American/Alaskan Native, Asian/Pacific Islander",No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,10+,My school did not offer,3,0,"Community Service, Music, Theater, Visual Art",No,No,EDI,,No,,Yes,33,College counseling,No,No,"Cost, Location, Academics",None,College of Arts of Science,No,"Yes, as a pre-med student",East,Option 7,"Yes, more than half the cost of attendance",No,"$10,000 - $14,999",No,4,4,4,4,4,4,4,4,4,I am not eligible to vote,No,0,Once a semester,Never,None,N/A (I have never owned a fake ID)
New York,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,2,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Music",,No,Regular Decision,"Johns Hopkins, McGill University",No,,No,,College counseling,No,No,"Cost, Academics, Brand name/rankings","Campus tour, Anchor Day, Anchor Day (admitted students day)",Blair School of Music,No,No,Gillette,Hank Ingram,"Yes, more than half the cost of attendance","Yes, partial tuition",$0 ,No,2,6,5,2,2,1,7,6,6,I am not eligible to vote,Yes,2,Never,Never,None,N/A (I have never owned a fake ID)
Florida,White/Caucasian,No,Heterosexual,Male,No,No,No,"$1,000,000 or more",No,No,Private,My school did not offer,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Community Service, Religious group, Student Government",No,No,EDI,,No,,No,,College counseling,No,No,"Location, Post-grad opportunities, Brand name/rankings",Campus tour,Peabody College of Education and Human Development,No,No,West,North,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",6,3,1,1,1,1,1,1,2,"I am eligible to vote, but am not registered",Yes,2,Three times a week,Four or more times a week,"LSD (Acid), MDMA (Ecstasy/Molly), Psilocybin (Shrooms)",Indiana
Illinois,White/Caucasian,No,Heterosexual,Female,No,No,No,"$500,000 - $749,999",No,No,Public,7,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Dance, Work/Internship (Paid)",Yes,No,EDI,,Yes,1490,No,,College counseling,No,No,"Location, Academics, School size",Campus tour,School of Engineering,No,No,Crawford,Stambaugh,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,5,1,2,4,3,7,3,5,"Yes, in my home state/country",,0,,,,
Connecticut,White/Caucasian,No,Heterosexual,Female,No,No,No,"$1,000,000 or more",No,No,Public,9,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Music, Research, Student Government, Work/Internship (Paid)",No,No,EDII,"UNC, Baylor, Villanova, Tulane, University of Wisconsin, University of Alabama",No,,Yes,34,College counseling,No,No,"Location, Faculty, Brand name/rankings","Campus tour, 'Dore For A Day",College of Arts of Science,No,"Yes, on another pre-professional track",East,East,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,6,1,4,1,1,7,5,7,"Yes, in my home state/country",Yes,1,Once a week,Once a semester,,Rhode Island
California,White/Caucasian,Yes,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Private,4,My school did not offer,4,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Internship (unpaid), Speech and Debate",No,No,Regular Decision,,No,,No,,College counseling,No,No,"Academics, Brand name/rankings, Campus","Commodore Launch, MOSAIC, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",Stambaugh,Hank Ingram,"Yes, less than half the cost of attendance",No,"$40,000 - $49,999",Not sure,4,4,5,3,4,4,6,5,5,"Yes, in my home state/country",Yes,1,Once a week,Never,None,N/A (I have never owned a fake ID)
International student,White/Caucasian,No,Gay/lesbian,Female,No,No,No,"$0 - $49,999",No,No,Private,0,0,0,2,"Advocacy, Community Service, Family Responsibilities, Speech and Debate, Student Government, Work/Internship (Paid)",Yes,Yes,Regular Decision,,No,,No,,College counseling,No,No,"Cost, Location, Brand name/rankings",MOSAIC,College of Arts of Science,No,No,Stambaugh,Stambaugh,"Yes, full cost of attendence","Yes, full tuition",$0 ,No,1,7,7,7,7,1,7,7,7,"Yes, in my home state/country",Yes,3,Once a week,Never,None,N/A (I have never owned a fake ID)
Minnesota,White/Caucasian,No,Questioning/unsure,Female,No,No,No,"$300,000 - $499,999",No,No,Public,7,My school did not offer,0,0,"Academic Clubs/Competition, Athletics, Community Service, Journalism, Model UN, Student Government",Yes,No,Waitlist,,No,,No,,College counseling,No,No,"Location, Academics, School size",Campus tour,Peabody College of Education and Human Development,No,No,Stambaugh,Hank Ingram,"Yes, less than half the cost of attendance",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,2,3,4,6,2,7,5,7,"Yes, in my home state/country",Yes,1,Twice a week,Once a week,LSD (Acid),West Virginia
New Jersey,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,10+,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Athletics, Music, Research",No,No,Regular Decision,,Yes,1590,No,,College counseling,No,No,"Academics, Brand name/rankings, Campus",Campus tour,School of Engineering,No,No,Stambaugh,Stambaugh,No,No,$0 ,Not sure,5,5,3,3,2,2,4,4,4,I am not eligible to vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
California,"White/Caucasian, Asian/Pacific Islander",No,Bisexual/pansexual,Female,No,No,No,"$150,000 - $199,999",No,No,Private,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Advocacy, Athletics, Internship (unpaid), Work/Internship (Paid)",No,No,EDI,,Yes,1570,No,,College counseling,No,No,"Location, Academics, Faculty","Campus tour, Commodore Launch",College of Arts of Science,No,No,Hank Ingram,Stambaugh,No,No,$0 ,No,1,1,4,5,5,1,7,7,7,"Yes, in my home state/country",No,0,Once a month,Once a month,None,Oregon
Oregon,White/Caucasian,No,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Public,10+,My school did not offer,My school did not offer,1,"Academic Clubs/Competition, Athletics, Cultural and Affinity Clubs, Work/Internship (Paid)",Yes,No,Regular Decision,,No,,Yes,35,College counseling,No,No,"Cost, Location, Academics","Campus tour, 'Dore For A Day",Peabody College of Education and Human Development,No,No,Hank Ingram,Hank Ingram,No,"Yes, full tuition",$0 ,No,3,5,4,2,3,1,7,7,7,"Yes, in my home state/country",No,2,Never,Never,None,N/A (I have never owned a fake ID)
Virginia,African American/Black,No,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Public,5,My school did not offer,10+,1,"Community Service, Religious group, Work/Internship (Paid)",,No,Regular Decision,"Virginia Tech, NC State, Duke, UVA, VCU",Yes,1530,No,,College counseling,No,No,"Cost, Academics, Brand name/rankings","Dore For A Day, MOSAIC",School of Engineering,No,No,West,Hank Ingram,"Yes, more than half the cost of attendance",No,"$150,000 - $200,000",No,3,5,4,1,5,1,5,2,7,"I am eligible to vote, but am not registered",No,0,Never,Never,,
Texas,White/Caucasian,No,Heterosexual,Male,No,No,No,"$50,000 - $74,999",No,No,Public,7,0,My school did not offer,0,"Athletics, Community Service, Family Responsibilities, Music, Work/Internship (Paid)",No,No,EDII,University of Alabama,No,,No,,College counseling,No,No,"Location, Academics, School size","Campus tour, Anchor Day (admitted students day)",Blair School of Music,No,"Yes, on another pre-professional track",Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,Not sure,3,2,2,2,3,2,6,4,5,I am registered to vote but do not vote,Yes,3,Never,Never,None,
California,African American/Black,No,Heterosexual,Female,No,Yes,No,"$50,000 - $74,999",No,No,Public,8,10+,My school did not offer,0,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Internship (unpaid), Speech and Debate, Work/Internship (Paid)",No,No,Regular Decision,"Princeton. Smith, Brown. UCR, UCI",No,,No,,College counseling,No,No,"Cost, Academics, Faculty, Post-grad opportunities","MOSAIC, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",West,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,"Yes, I plan to participate in NPHC recruitment",1,7,4,7,6,1,7,7,7,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
New Jersey,White/Caucasian,No,Heterosexual,Male,No,No,No,"$500,000 - $749,999",No,No,Public,4,My school did not offer,10+,My school did not offer,"Athletics, Internship (unpaid), Theater, Work/Internship (Paid)",Yes,No,EDI,"University of Michigan, Rutgers University, Purdue University, University of Pittsburgh",Yes,1570,No,,College counseling,No,No,"Location, Academics, Brand name/rankings","Campus tour, Anchor Day, Commodore Launch, Anchor Day (admitted students day)",School of Engineering,No,No,Sutherland,Sutherland,No,No,$0 ,Not sure,4,5,1,4,2,4,7,7,5,"Yes, in my home state/country",Yes,1,Once a week,Never,None,New Jersey
Florida,"White/Caucasian, Middle Eastern/North African",No,Gay/lesbian,Male,No,No,No,"$1,000,000 or more",No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Work/Internship (Paid), Modeling",No,No,Regular Decision,"Cornell, Northwestern, McGill, University if Toronto, University of Florida, Miami (FL), USF, George Washington",No,,No,,College counseling,No,No,"Location, Academics, Campus","Campus tour, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,"Yes, Peabody","Yes, on another pre-professional track",West,Stambaugh,No,No,$0 ,"Yes, I plan to participate in NPHC recruitment",3,4,6,1,1,1,6,7,5,"Yes, in my home state/country",No,0,Twice a week,Never,None,Florida
California,Middle Eastern/North African,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,7,My school did not offer,2,1,"Academic Clubs/Competition, Advocacy, Community Service, Internship (unpaid), Speech and Debate",No,No,EDII,,Yes,1570,No,,College counseling,No,No,"Academics, Post-grad opportunities, Brand name/rankings",Anchor Day,School of Engineering,No,No,North,North,No,No,$0 ,Not sure,1,7,2,7,4,1,7,3,7,"Yes, in my home state/country",No,1,Never,Never,None,N/A (I have never owned a fake ID)
Florida,White/Caucasian,Yes,Bisexual/pansexual,Female,No,No,No,"$0 - $49,999",No,No,Private,10+,My school did not offer,5,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid)",No,No,Regular Decision,,Yes,1530,No,,College counseling,No,No,"Cost, School size, Brand name/rankings","Commodore Launch, MOSAIC",School of Engineering,No,"Yes, as a pre-law student",East,East,"Yes, more than half the cost of attendance","Yes, partial tuition",$0 ,Not sure,3,6,6,1,3,3,5,1,7,"I am eligible to vote, but am not registered",Yes,3,Once a week,Never,None,
Korea,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Private,My school did not offer,6,My school did not offer,My school did not offer,"Academic Clubs/Competition, Internship (unpaid), Journalism, Music, Model UN",Yes,No,Regular Decision,"Seoul National University, Korea University, Yonsei University, UNC Chapel Hill, University of Virginia, UCLA, UC Berkeley, Washington University in St. Louis, Cornell University.",No,,No,,College counseling,No,No,"Post-grad opportunities, Brand name/rankings, Campus",None,College of Arts of Science,"Yes, Peabody","Yes, as a pre-law student",West,West,No,No,"$30,000 - $39,999",No,5,3,7,5,1,1,2,1,7,I am not eligible to vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Brazil,White/Caucasian,Yes,Heterosexual,Female,No,No,No,"$500,000 - $749,999",No,No,Private,My school did not offer,6,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Community Service, Internship (unpaid), Journalism, Model UN, Speech and Debate",Yes,No,EDII,I had to withdraw from all as I was accepted ED II. The only one I found out about was Syracuse. ,No,,No,,College counseling,No,No,"Academics, School size, Post-grad opportunities",None,College of Arts of Science,"Yes, Peabody",No,Gillette,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,7,4,5,6,1,7,6,7,I am not eligible to vote,No,0,Twice a week,Never,None,N/A (I have never owned a fake ID)
Kentucky,"White/Caucasian, Middle Eastern/North African",No,Heterosexual,Female,No,No,No,"$500,000 - $749,999",No,No,Private,6,My school did not offer,4,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Internship (unpaid), Journalism, Model UN, Speech and Debate, Work/Internship (Paid)",No,No,Regular Decision,George Washington,No,,No,,College counseling,No,No,"Cost, Location, Academics","Campus tour, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,"Yes, as a pre-law student",Hank Ingram,Hank Ingram,No,"Yes, full tuition",$0 ,Not sure,3,4,2,5,6,2,6,5,7,"Yes, in my home state/country",No,0,Never,Never,,N/A (I have never owned a fake ID)
Hong Kong,Asian/Pacific Islander,No,Heterosexual,Female,No,Yes,No,"$300,000 - $499,999",No,No,Private,My school did not offer,2,My school did not offer,My school did not offer,"Academic Clubs/Competition, Athletics, Internship (unpaid), Work/Internship (Paid)",Yes,No,EDI,,No,,No,,College counseling,No,No,"Academics, School size, Faculty",None,Peabody College of Education and Human Development,No,No,Hank Ingram,Hank Ingram,No,No,$0 ,No,4,5,2,2,1,1,7,7,7,I am not eligible to vote,No,1,Once a month,Never,None,N/A (I have never owned a fake ID)
Connecticut,White/Caucasian,No,Heterosexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,8,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Work/Internship (Paid)",No,No,Regular Decision,"Clemson university, Virginia tech, university of South Carolina, university of Connecticut, Rochester institute of technology, lehigh university, Quinnipiac university, montana state university",No,,No,,College counseling,No,No,"Location, Academics, School size",Campus tour,School of Engineering,No,No,North,North,"Yes, more than half the cost of attendance",No,"$5,000 - $9,999",No,6,3,4,3,3,3,2,1,3,I am registered to vote but do not vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,African American/Black,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Charter,2,My school did not offer,2,My school did not offer,"Academic Clubs/Competition, Community Service, Family Responsibilities, Work/Internship (Paid)",,No,EDI,,No,,No,,College counseling,No,No,"Cost, Location, Academics",Commodore Launch,College of Arts of Science,No,No,Gillette,Murray,"Yes, more than half the cost of attendance",No,"$50,000 - $74,999",No,4,4,4,1,7,7,7,4,5,"Yes, in Tennessee",,0,,,,
China,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,7,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Internship (unpaid), Research",No,No,EDII,"USC, UNC, LSE, HKU, UIUC, UCSB",No,,No,,College counseling,No,No,"Academics, School size, Faculty",Anchor Day,College of Arts of Science,"Yes, Peabody",No,Crawford,Crawford,No,No,$0 ,Not sure,4,4,4,5,4,2,5,6,6,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Georgia,White/Caucasian,No,Heterosexual,Male,No,No,No,"$500,000 - $749,999",No,No,Public,10+,My school did not offer,10+,0,"Athletics, Community Service, Work/Internship (Paid)",Yes,No,EDI,"UGA, withdrew from others due to ed",Yes,1540,No,,Other,No,No,"Academics, Post-grad opportunities, Brand name/rankings",Campus tour,Peabody College of Education and Human Development,No,No,Hank Ingram,Hank Ingram,No,No,$0 ,Not sure,3,6,2,1,5,4,6,4,5,"Yes, in my home state/country",No,3,Twice a week,Once a week,"Psilocybin (Shrooms), Prescription Opioids (Oxy)",Georgia
Ohio,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$100,000 - $149,999",Yes,No,Public,10+,My school did not offer,My school did not offer,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Work/Internship (Paid)",Yes,No,EDI,"Ohio State, University of Cincinnati, Miami University (ohio)",No,,No,,Standardized testing (ACT/SAT) tutoring,No,No,"Cost, Academics, Campus",Campus tour,College of Arts of Science,No,No,Gillette,Option 7,"Yes, more than half the cost of attendance",No,"$30,000 - $39,999","Yes, I plan to participate in Panhellenic recruitment",2,7,2,5,2,4,7,6,7,"Yes, in my home state/country",No,1,Once a month,Never,None,N/A (I have never owned a fake ID)
Georgia,White/Caucasian,No,Questioning/unsure,Female,No,No,No,"$75,000 - $99,999",No,No,Public,5,0,10+,4,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Religious group, Work/Internship (Paid)",No,No,EDI,"University of GA, University of South Carolina, Florida State University, App State, Clemson, University of Tennessee, University of Alabama, University of Arkansas, Furman",No,,No,,Standardized testing (ACT/SAT) tutoring,No,No,"Academics, Brand name/rankings, Campus","Campus tour, 'Dore For A Day, Commodore Launch",Peabody College of Education and Human Development,No,No,Murray,Hank Ingram,No,No,I don't know,"Yes, I plan to participate in Panhellenic recruitment",3,5,1,1,2,2,5,3,4,"Yes, in my home state/country",No,2,Once a week,Once a semester,None,Georgia
Illinois,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$500,000 - $749,999",No,No,Private,3,My school did not offer,8,My school did not offer,"Athletics, Community Service, Cultural and Affinity Clubs, Internship (unpaid), Religious group, Research, Student Government, Visual Art",No,No,Regular Decision,"Smith College, Occidental College, Scripps College, University of Denver, Kenyon College",No,,Yes,34,Standardized testing (ACT/SAT) tutoring,No,No,"Academics, School size, Faculty","Campus tour, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,No,Hank Ingram,Hank Ingram,No,No,$0 ,No,1,7,5,3,7,1,7,5,7,"Yes, in my home state/country",Yes,1,Once a month,Never,None,N/A (I have never owned a fake ID)
New Jersey,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$300,000 - $499,999",No,No,Public,10+,My school did not offer,10+,My school did not offer,"Athletics, Community Service, Cultural and Affinity Clubs, Dance, Internship (unpaid), Student Government",Yes,No,EDI,,Yes,1550,No,,Standardized testing (ACT/SAT) tutoring,No,No,"School size, Brand name/rankings, Campus","Campus tour, 'Dore For A Day, Anchor Day, Anchor Day (admitted students day)",College of Arts of Science,No,No,Hank Ingram,Hank Ingram,"Yes, less than half the cost of attendance","Yes, partial tuition",$0 ,Not sure,3,4,2,2,6,3,6,4,6,"Yes, in my home state/country",No,2,Twice a week,Never,None,New Jersey
North Carolina,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,10+,My school did not offer,10+,3,"Athletics, Community Service, Visual Art, Work/Internship (Paid)",No,No,EDI,"Clemson, South Carolina, Tennessee",No,,No,,Standardized testing (ACT/SAT) tutoring,No,No,"Cost, Academics, Brand name/rankings",Campus tour,School of Engineering,No,No,Sutherland,Stambaugh,"Yes, more than half the cost of attendance",No,"$20,000 - $29,999",No,2,7,4,5,7,4,7,6,7,"Yes, in my home state/country",Yes,2,Once a month,Once a semester,None,N/A (I have never owned a fake ID)
